id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
866714230378401916,Home in Dallas · 3 bedrooms · 5 beds · 2 baths,509450047,Jv,,District 7,32.77106018614565,-96.74459238254897,Entire home/apt,193,1,0,,,1,89,0,
866743919048076565,Rental unit in Dallas · ★4.92 · 1 bedroom · 1 bed · 1 bath,509442715,Briana,,District 2,32.79924796532944,-96.81724683922448,Entire home/apt,130,2,13,2023-07-01,4.59,1,120,13,
866840825267945193,Rental unit in Dallas · ★4.20 · 1 bedroom · 2 beds · 1 bath,384827082,Taylor,,District 14,32.79125288503555,-96.78995201491384,Entire home/apt,95,14,5,2023-06-11,1.95,7,303,5,
866841825596272542,Rental unit in Dallas · 1 bedroom · 2 beds · 1 bath,384827082,Taylor,,District 14,32.791497420111156,-96.79184072710473,Entire home/apt,74,14,1,2023-04-17,0.33,7,345,1,
866844789498240405,Home in Dallas · 1 bedroom · 3 beds · 1.5 baths,509479928,Shabeth,,District 5,32.72807149613595,-96.71685277162085,Private room,52,2,0,,,1,88,0,
867035801905374178,Rental unit in Dallas · ★5.0 · 1 bedroom · 1 bed · 1 bath,214636462,Cozy Homes,,District 14,32.78948777935748,-96.79105040916113,Entire home/apt,114,1,4,2023-06-09,1.82,2,344,4,
867035807685931045,Rental unit in Dallas · ★4.67 · 1 bedroom · 1 bed · 1 bath,344149530,Ange,,District 11,32.93718322411141,-96.81628313615916,Entire home/apt,79,1,6,2023-07-10,3.21,1,202,6,
867439548439933338,Home in Dallas · ★5.0 · 5 bedrooms · 12 beds · 2.5 baths,225666734,Luxe Lofts,,District 6,32.7835146,-96.87711739999999,Entire home/apt,345,1,7,2023-06-12,2.21,1,364,7,
867463637964006885,Home in Dallas · ★5.0 · 4 bedrooms · 5 beds · 3.5 baths,63977644,Destiny,,District 6,32.78897535977698,-96.8450430649285,Entire home/apt,377,2,3,2023-06-26,1.06,3,158,3,
867959681448907560,Rental unit in Dallas · 2 bedrooms · 2 beds · 2 baths,166230314,Tee,,District 14,32.84069317903453,-96.7703436487706,Entire home/apt,200,1,2,2023-05-28,1.05,5,331,2,
867973132899620054,Home in Dallas · 1 bedroom · 3 beds · 1 shared bath,76229649,Remy,,District 1,32.74412418520271,-96.86040201931503,Private room,50,31,0,,,2,332,0,
868151270757251050,Rental unit in Dallas · 1 bedroom · 1 bed · 1 bath,340734389,Ciara,,District 1,32.74820598671999,-96.8395258454589,Entire home/apt,50,28,0,,,1,256,0,
868181524976754751,Rental unit in Dallas · ★5.0 · 1 bedroom · 1 bed · 1 bath,106819632,Michael,,District 14,32.854493980542244,-96.75361347504068,Entire home/apt,72,1,10,2023-05-21,3.23,1,0,10,
868215958230417463,Home in Dallas · ★5.0 · 3 bedrooms · 3 beds · 2 baths,410171346,Ashley,,District 7,32.7139021,-96.74377249999999,Entire home/apt,164,2,3,2023-06-17,0.98,1,358,3,
868261345134679384,Home in Dallas · 4 bedrooms · 4 beds · 2 baths,435488432,Paul,,District 4,32.737901118400046,-96.80116832374982,Entire home/apt,125,1,0,,,2,261,0,
868388555830486123,Home in Dallas · ★5.0 · 4 bedrooms · 5 beds · 4 baths,410291824,Alex & Dania,,District 14,32.81876,-96.78312,Entire home/apt,638,2,3,2023-05-29,1.32,7,252,3,
868413012645950934,Rental unit in Dallas · 2 bedrooms · 2 beds · 2 baths,120814573,Nicholas,,District 2,32.7897464840226,-96.81022781252005,Entire home/apt,280,30,0,,,2,336,0,
868723489382449590,Rental unit in Dallas · ★4.75 · 1 bedroom · 2 beds · 1 bath,330299170,Leslie,,District 2,32.79533170032451,-96.77540159533332,Entire home/apt,79,1,4,2023-07-01,4,1,106,4,
868757615154351059,Townhouse in Dallas · ★4.67 · 4 bedrooms · 7 beds · 4 baths,503273607,Barsala Dallas,,District 2,32.8063341115747,-96.8222704459087,Entire home/apt,442,3,3,2023-07-10,1.58,1,358,3,
868765096142180108,Townhouse in Dallas · ★4.67 · 2 bedrooms · 3 beds · 2.5 baths,509457331,Skyrun Dallas,,District 14,32.8174813,-96.8088849,Entire home/apt,236,1,3,2023-06-30,2.50,5,315,3,
868790841658182940,Home in Dallas · ★5.0 · 2 bedrooms · 2 beds · 2 baths,312879637,Andrew,,District 1,32.73961745070066,-96.83961169478668,Entire home/apt,163,2,17,2023-07-09,5.67,1,332,17,
868957301844463645,Rental unit in Dallas · 1 bedroom · 1 bed · 1 bath,372592509,Victor From CozySuites,,District 2,32.78688844981238,-96.7822733735874,Entire home/apt,133,2,2,2023-05-28,1.07,62,0,2,
868959373264164436,Rental unit in Dallas · 1 bedroom · 1 bed · 1 bath,194464107,Michael,,District 2,32.77701540374602,-96.7884596754473,Entire home/apt,141,2,0,,,1,365,0,
868978178026546355,Rental unit in Dallas · 3 bedrooms · 5 beds · 3 baths,372592509,Victor From CozySuites,,District 14,32.78375043758782,-96.80148716131383,Entire home/apt,322,2,1,2023-05-17,0.49,62,328,1,
869195879750723448,Home in Dallas · ★5.0 · 2 bedrooms · 2 beds · 2.5 baths,257704044,Eddie,,District 2,32.769064002920686,-96.79302146593771,Entire home/apt,160,1,7,2023-06-22,2.76,2,341,7,
869517950870125958,Rental unit in Dallas · 1 bedroom · 1 bed · 1 bath,510043581,Savaira,,District 14,32.8054700490339,-96.79566908702358,Entire home/apt,159,30,1,2023-06-07,0.75,1,275,1,
869535571876597457,Rental unit in Dallas · 2 bedrooms · 3 beds · 2 baths,247532731,Momo,,District 11,32.955064396775036,-96.80100323358562,Entire home/apt,108,30,1,2023-05-01,0.39,4,151,1,
869680946841418097,Home in Dallas · ★5.0 · 3 bedrooms · 4 beds · 2 baths,308929607,Adriana,,District 2,32.80358351876441,-96.78223637322158,Entire home/apt,165,1,3,2023-06-26,1.15,9,168,3,
870190549655943277,Rental unit in Dallas · 1 bedroom · 1 bed · 1 bath,384827082,Taylor,,District 12,32.99582753316981,-96.80152818925534,Entire home/apt,79,28,0,,,7,359,0,
870966292970907542,Home in Dallas · ★5.0 · 1 bedroom · 1 bed · 1 private bath,12931456,Allan,,District 1,32.76613572819805,-96.8359687551856,Private room,50,1,4,2023-07-15,4,1,228,4,
871097793727063859,Home in Dallas · 1 bedroom · 1 bed · 1 shared bath,31628738,Sally,,District 1,32.72645046797625,-96.83787406899835,Private room,51,2,2,2023-06-26,0.74,9,279,2,
871166047247310482,Rental unit in Dallas · 2 bedrooms · 3 beds · 2 baths,189433970,Anthony,,District 14,32.819374199188985,-96.79507655049325,Entire home/apt,224,2,2,2023-05-29,0.86,1,105,2,
871196643619663577,Rental unit in Dallas · ★4.75 · 1 bedroom · 3 beds · 1 bath,485951501,JNE Experiences,,District 2,32.789473455827896,-96.77857333903513,Entire home/apt,87,2,8,2023-07-07,3.08,1,78,8,
871232747228260169,Home in Dallas · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,174490432,Equiano,,District 6,32.78185,-96.84319,Private room,41,2,6,2023-06-27,2.07,2,196,6,
871332543038089232,Home in Dallas · ★5.0 · 5 bedrooms · 8 beds · 3.5 baths,347685252,Vartan,,District 6,32.7808088,-96.85049029999999,Entire home/apt,660,1,3,2023-07-09,3,2,292,3,
871669583849013320,Rental unit in Dallas · 1 bedroom · 1 bed · 1 bath,509474445,Avira,,District 9,32.856120146329914,-96.74681561440049,Entire home/apt,79,3,1,2023-06-06,0.73,6,358,1,
